,strain,sal,las,iptg,chlor,cole1,plate,measurement,std
109,1x diff 2x bxb1,10,0.01,50,-,carb,14,5440.0,674.5740454962248
110,1x diff 2x bxb1,10,0.01,50,-,carb,15,5417.125,602.378485078704
111,1x diff 2x bxb1,10,0.01,50,-,carb,16,6156.8125,718.5168224245991
112,1x diff 2x bxb1,10,0.01,50,-,kan,1,1749.25,200.1333484026516
113,1x diff 2x bxb1,10,0.01,50,-,kan,2,1712.125,110.59635424112577
114,1x diff 2x bxb1,10,0.01,50,-,kan,3,2283.6875,174.80089438721822
115,1x diff 2x bxb1,10,0.01,50,-,kan,4,2056.125,162.92762415958111
116,1x diff 2x bxb1,10,0.01,50,-,kan,5,1496.75,118.97688851201312
117,1x diff 2x bxb1,10,0.01,50,-,kan,6,1386.9375,47.47287759492633
118,1x diff 2x bxb1,10,0.01,50,-,kan,7,1451.3125,77.43750360313611
119,1x diff 2x bxb1,10,0.01,50,-,kan,8,1482.6875,82.53308319352044
120,1x diff 2x bxb1,10,0.01,50,-,kan,9,2123.3125,151.75966373089486
121,1x diff 2x bxb1,10,0.01,50,-,kan,10,2801.75,148.91896166323855
122,1x diff 2x bxb1,10,0.01,50,-,kan,11,3101.0,200.28087420277703
123,1x diff 2x bxb1,10,0.01,50,-,kan,12,2764.0,306.0460983017334
124,1x diff 2x bxb1,10,0.01,50,-,kan,13,4221.0625,440.6061926077365
125,1x diff 2x bxb1,10,0.01,50,-,kan,14,3173.5625,361.350980696054
126,1x diff 2x bxb1,10,0.01,50,-,kan,15,2796.625,288.82863802410094
127,1x diff 2x bxb1,10,0.01,50,-,kan,16,2669.4375,198.87530865559253
128,1x diff 2x bxb1,15,0.01,10,+,carb,1,7735.4375,486.74842706474146
129,1x diff 2x bxb1,15,0.01,10,+,carb,2,14988.375,988.2682816060484
130,1x diff 2x bxb1,15,0.01,10,+,carb,3,11837.375,1111.822723214966
131,1x diff 2x bxb1,15,0.01,10,+,carb,4,10352.0625,908.2269397607312
132,1x diff 2x bxb1,15,0.01,10,+,carb,5,10315.375,1016.0382357119101
133,1x diff 2x bxb1,15,0.01,10,+,carb,6,9462.5625,867.9621633252717
134,1x diff 2x bxb1,15,0.01,10,+,carb,7,10674.1875,812.682855797477
135,1x diff 2x bxb1,15,0.01,10,+,carb,8,11403.125,1098.535900642305
136,1x diff 2x bxb1,15,0.01,10,+,carb,9,12891.0,998.1777325277722
137,1x diff 2x bxb1,15,0.01,10,+,carb,10,14124.6875,1096.9975887947196
138,1x diff 2x bxb1,15,0.01,10,+,carb,11,14430.125,1419.1656691269598
139,1x diff 2x bxb1,15,0.01,10,+,carb,12,12913.1875,1347.0704705688452
140,1x diff 2x bxb1,15,0.01,10,+,carb,13,12584.9375,1411.1287892398157
141,1x diff 2x bxb1,15,0.01,10,+,carb,14,10490.625,1597.1164361793683
142,1x diff 2x bxb1,15,0.01,10,+,carb,15,8522.3125,1677.0439754328793
143,1x diff 2x bxb1,15,0.01,10,+,carb,16,6215.75,1731.5191307057512
144,1x diff 2x bxb1,15,0.01,10,+,kan,1,7287.0625,957.310795834576
145,1x diff 2x bxb1,15,0.01,10,+,kan,2,9638.6875,1118.4792908709321
146,1x diff 2x bxb1,15,0.01,10,+,kan,3,8703.0625,935.2358540382054
147,1x diff 2x bxb1,15,0.01,10,+,kan,4,9684.1875,908.2995862560196
148,1x diff 2x bxb1,15,0.01,10,+,kan,5,8743.625,1346.1406408692965
149,1x diff 2x bxb1,15,0.01,10,+,kan,6,6785.8125,732.0251233735082
150,1x diff 2x bxb1,15,0.01,10,+,kan,7,7866.3125,852.2471530145635
151,1x diff 2x bxb1,15,0.01,10,+,kan,8,7877.8125,973.2922750533733
152,1x diff 2x bxb1,15,0.01,10,+,kan,9,9174.4375,862.256567613641
153,1x diff 2x bxb1,15,0.01,10,+,kan,10,11017.5625,1021.8361427736695
154,1x diff 2x bxb1,15,0.01,10,+,kan,11,11341.0,1102.151370210618
155,1x diff 2x bxb1,15,0.01,10,+,kan,12,9664.75,546.7131658505083
156,1x diff 2x bxb1,15,0.01,10,+,kan,13,11956.5,1034.581834089779
157,1x diff 2x bxb1,15,0.01,10,+,kan,14,9103.1875,1683.907804939366
158,1x diff 2x bxb1,15,0.01,10,+,kan,15,5753.0625,1785.8914828154755
159,1x diff 2x bxb1,15,0.01,10,+,kan,16,3896.6875,1862.1482589721093
160,1x diff 2x bxb1,15,0.01,10,-,carb,1,7927.4375,322.4204705371985
161,1x diff 2x bxb1,15,0.01,10,-,carb,2,17145.5625,1039.6620136749116
162,1x diff 2x bxb1,15,0.01,10,-,carb,3,16216.6875,1769.2810674213736
163,1x diff 2x bxb1,15,0.01,10,-,carb,4,15572.3125,2161.9386626937403
164,1x diff 2x bxb1,15,0.01,10,-,carb,5,14737.5,2097.1585879129743
165,1x diff 2x bxb1,15,0.01,10,-,carb,6,14397.0625,1775.9207559038214
166,1x diff 2x bxb1,15,0.01,10,-,carb,7,15752.0,2080.4540369832735
167,1x diff 2x bxb1,15,0.01,10,-,carb,8,16735.25,2071.457940678498
168,1x diff 2x bxb1,15,0.01,10,-,carb,9,18915.875,2564.056506369768
169,1x diff 2x bxb1,15,0.01,10,-,carb,10,21692.5,2575.427135170287
170,1x diff 2x bxb1,15,0.01,10,-,carb,11,21217.625,2764.070998028607
171,1x diff 2x bxb1,15,0.01,10,-,carb,12,20024.3125,3855.6938132131295
172,1x diff 2x bxb1,15,0.01,10,-,carb,13,17982.4375,4791.819639742446
173,1x diff 2x bxb1,15,0.01,10,-,carb,14,13264.625,5073.021449294296
174,1x diff 2x bxb1,15,0.01,10,-,carb,15,10668.875,4625.575630201531
175,1x diff 2x bxb1,15,0.01,10,-,carb,16,7350.5,3815.1450543477754
176,1x diff 2x bxb1,15,0.01,10,-,kan,1,6773.625,658.2425600469353
177,1x diff 2x bxb1,15,0.01,10,-,kan,2,9271.375,434.3175064725939
178,1x diff 2x bxb1,15,0.01,10,-,kan,3,10269.625,1094.5701945121136
179,1x diff 2x bxb1,15,0.01,10,-,kan,4,9294.25,364.07730733222826
180,1x diff 2x bxb1,15,0.01,10,-,kan,5,8648.4375,520.506102441241
181,1x diff 2x bxb1,15,0.01,10,-,kan,6,6678.8125,435.8498215719329
182,1x diff 2x bxb1,15,0.01,10,-,kan,7,7402.6875,394.9209629334529
183,1x diff 2x bxb1,15,0.01,10,-,kan,8,7566.625,492.86855318054705
184,1x diff 2x bxb1,15,0.01,10,-,kan,9,9496.0,502.8812697134099
185,1x diff 2x bxb1,15,0.01,10,-,kan,10,12327.0,473.17166924006386
186,1x diff 2x bxb1,15,0.01,10,-,kan,11,14440.8125,713.2109955035346
187,1x diff 2x bxb1,15,0.01,10,-,kan,12,11705.9375,921.3962013278694
188,1x diff 2x bxb1,15,0.01,10,-,kan,13,14849.5625,460.97237579924433
189,1x diff 2x bxb1,15,0.01,10,-,kan,14,12474.125,499.5572146554244
190,1x diff 2x bxb1,15,0.01,10,-,kan,15,9302.625,1122.281278404457
191,1x diff 2x bxb1,15,0.01,10,-,kan,16,7086.25,1564.5959542322737
192,1x diff 2x bxb1,15,0.01,50,+,carb,1,7685.9375,648.4512558781887
193,1x diff 2x bxb1,15,0.01,50,+,carb,2,11505.625,1177.2267578022997
194,1x diff 2x bxb1,15,0.01,50,+,carb,3,8720.0625,842.001333452456
195,1x diff 2x bxb1,15,0.01,50,+,carb,4,8391.5,778.6334641078375
196,1x diff 2x bxb1,15,0.01,50,+,carb,5,7577.5625,790.6467712982111
197,1x diff 2x bxb1,15,0.01,50,+,carb,6,7473.875,787.7758813810655
198,1x diff 2x bxb1,15,0.01,50,+,carb,7,8680.875,727.5268159024398
199,1x diff 2x bxb1,15,0.01,50,+,carb,8,8536.1875,982.3101393253703
200,1x diff 2x bxb1,15,0.01,50,+,carb,9,11399.875,1119.172039309162
201,1x diff 2x bxb1,15,0.01,50,+,carb,10,12552.6875,1242.5339299046468
202,1x diff 2x bxb1,15,0.01,50,+,carb,11,12339.375,1316.9173623601885
203,1x diff 2x bxb1,15,0.01,50,+,carb,12,11232.75,1249.94759890165
204,1x diff 2x bxb1,15,0.01,50,+,carb,13,11572.1875,1287.1992280445834
205,1x diff 2x bxb1,15,0.01,50,+,carb,14,10806.5,1418.1464764161096
206,1x diff 2x bxb1,15,0.01,50,+,carb,15,8623.6875,1592.184549100027
207,1x diff 2x bxb1,15,0.01,50,+,carb,16,7191.0,1937.8484755743195
208,1x diff 2x bxb1,15,0.01,50,+,kan,1,6652.5,1698.9598919002515
209,1x diff 2x bxb1,15,0.01,50,+,kan,2,7373.8125,762.432335990733
210,1x diff 2x bxb1,15,0.01,50,+,kan,3,8029.5625,682.5303989828685
211,1x diff 2x bxb1,15,0.01,50,+,kan,4,8734.25,729.5107460287537
212,1x diff 2x bxb1,15,0.01,50,+,kan,5,6482.625,784.2242641161846
213,1x diff 2x bxb1,15,0.01,50,+,kan,6,5759.4375,510.811080362817
214,1x diff 2x bxb1,15,0.01,50,+,kan,7,6888.875,793.9012510561822
215,1x diff 2x bxb1,15,0.01,50,+,kan,8,6442.125,730.9884086436861
216,1x diff 2x bxb1,15,0.01,50,+,kan,9,8524.25,706.1469393830157
217,1x diff 2x bxb1,15,0.01,50,+,kan,10,9690.6875,1031.3267092682122
218,1x diff 2x bxb1,15,0.01,50,+,kan,11,9586.0,1148.5606831409227
219,1x diff 2x bxb1,15,0.01,50,+,kan,12,9105.625,882.2403199485144
220,1x diff 2x bxb1,15,0.01,50,+,kan,13,11158.3125,750.478082743641
221,1x diff 2x bxb1,15,0.01,50,+,kan,14,8015.6875,1079.4200141577355
222,1x diff 2x bxb1,15,0.01,50,+,kan,15,5618.1875,1372.3154816768626
223,1x diff 2x bxb1,15,0.01,50,+,kan,16,4172.25,1685.8662673618485
224,1x diff 2x bxb1,15,0.01,50,-,carb,1,9209.75,724.9955664889076
225,1x diff 2x bxb1,15,0.01,50,-,carb,2,15325.5625,1658.1144936665692
226,1x diff 2x bxb1,15,0.01,50,-,carb,3,11608.0625,1247.5301724808103
227,1x diff 2x bxb1,15,0.01,50,-,carb,4,10803.8125,1195.3313927078368
228,1x diff 2x bxb1,15,0.01,50,-,carb,5,10088.125,1245.457940736201
229,1x diff 2x bxb1,15,0.01,50,-,carb,6,11301.3125,1400.630060709924
230,1x diff 2x bxb1,15,0.01,50,-,carb,7,11043.25,1038.4585073215835
231,1x diff 2x bxb1,15,0.01,50,-,carb,8,11335.5,1297.3979728672311
232,1x diff 2x bxb1,15,0.01,50,-,carb,9,13662.75,1902.2622622250892
233,1x diff 2x bxb1,15,0.01,50,-,carb,10,11875.0,2336.3121580816205
234,1x diff 2x bxb1,15,0.01,50,-,carb,11,8158.75,2400.5397160995753
235,1x diff 2x bxb1,15,0.01,50,-,carb,12,4685.125,2032.168119978547
236,1x diff 2x bxb1,15,0.01,50,-,carb,13,2636.0,1426.1306041173088
237,1x diff 2x bxb1,15,0.01,50,-,carb,14,1300.0,781.9320394290762
238,1x diff 2x bxb1,15,0.01,50,-,carb,15,919.875,262.9085596063501
239,1x diff 2x bxb1,15,0.01,50,-,carb,16,1000.125,214.27331511746527
240,1x diff 2x bxb1,15,0.01,50,-,kan,1,7480.875,956.8870193795834
241,1x diff 2x bxb1,15,0.01,50,-,kan,2,8304.3125,410.45140111658935
242,1x diff 2x bxb1,15,0.01,50,-,kan,3,9082.0625,1061.4175305256374
243,1x diff 2x bxb1,15,0.01,50,-,kan,4,9247.375,386.5393853523487
244,1x diff 2x bxb1,15,0.01,50,-,kan,5,7386.6875,645.500466830638
245,1x diff 2x bxb1,15,0.01,50,-,kan,6,6189.875,428.62469014278685
246,1x diff 2x bxb1,15,0.01,50,-,kan,7,7021.1875,647.6769993875916
247,1x diff 2x bxb1,15,0.01,50,-,kan,8,6985.375,645.0615003902451
248,1x diff 2x bxb1,15,0.01,50,-,kan,9,9158.4375,642.5096684931234
249,1x diff 2x bxb1,15,0.01,50,-,kan,10,11616.75,544.1726354226728
250,1x diff 2x bxb1,15,0.01,50,-,kan,11,11859.625,676.3905650055827
251,1x diff 2x bxb1,15,0.01,50,-,kan,12,9215.0625,767.0932816017694
252,1x diff 2x bxb1,15,0.01,50,-,kan,13,12980.5625,714.9255424517996
253,1x diff 2x bxb1,15,0.01,50,-,kan,14,8919.625,1232.6906618682333
254,1x diff 2x bxb1,15,0.01,50,-,kan,15,6001.9375,1578.0422418187304
255,1x diff 2x bxb1,15,0.01,50,-,kan,16,4505.8125,1866.4129832668716
256,1x diff 2x bxb1,20,0.01,10,+,carb,1,11807.875,1567.883873023036
257,1x diff 2x bxb1,20,0.01,10,+,carb,2,17633.25,1920.0240697896038
258,1x diff 2x bxb1,20,0.01,10,+,carb,3,14383.6875,1525.9976581497665
259,1x diff 2x bxb1,20,0.01,10,+,carb,4,14590.25,1366.7939284534239
260,1x diff 2x bxb1,20,0.01,10,+,carb,5,15417.75,1416.7290294396958
261,1x diff 2x bxb1,20,0.01,10,+,carb,6,13652.0625,1157.6350719555055
262,1x diff 2x bxb1,20,0.01,10,+,carb,7,14234.6875,1477.6072341433826
263,1x diff 2x bxb1,20,0.01,10,+,carb,8,14391.3125,1584.9028121961114
264,1x diff 2x bxb1,20,0.01,10,+,carb,9,13545.125,1023.1098513146775
265,1x diff 2x bxb1,20,0.01,10,+,carb,10,12070.5,1347.8705162482888
266,1x diff 2x bxb1,20,0.01,10,+,carb,11,10343.9375,1870.3517323430294
267,1x diff 2x bxb1,20,0.01,10,+,carb,12,7015.4375,2360.536976402676
268,1x diff 2x bxb1,20,0.01,10,+,carb,13,4262.25,1910.6456649894185
269,1x diff 2x bxb1,20,0.01,10,+,carb,14,2967.1875,1524.3310227651623
270,1x diff 2x bxb1,20,0.01,10,+,carb,15,1845.625,996.4032011619163
271,1x diff 2x bxb1,20,0.01,10,+,carb,16,1595.5625,890.1373263836476
272,1x diff 2x bxb1,20,0.01,10,+,kan,1,11296.9375,1655.50219910757
273,1x diff 2x bxb1,20,0.01,10,+,kan,2,14474.25,981.4156320627583
274,1x diff 2x bxb1,20,0.01,10,+,kan,3,11041.1875,764.6449660510049
275,1x diff 2x bxb1,20,0.01,10,+,kan,4,11899.9375,891.8309592189702
276,1x diff 2x bxb1,20,0.01,10,+,kan,5,12044.0625,835.168521809478
277,1x diff 2x bxb1,20,0.01,10,+,kan,6,10912.625,703.196972506891
278,1x diff 2x bxb1,20,0.01,10,+,kan,7,11896.75,879.8951236206666
279,1x diff 2x bxb1,20,0.01,10,+,kan,8,10524.0,272.79924591433297
280,1x diff 2x bxb1,20,0.01,10,+,kan,9,9977.0,1124.8612612864113
281,1x diff 2x bxb1,20,0.01,10,+,kan,10,7786.4375,1386.5167413728345
282,1x diff 2x bxb1,20,0.01,10,+,kan,11,5907.5625,1655.964337898874
283,1x diff 2x bxb1,20,0.01,10,+,kan,12,3532.5625,1446.6437126155147
284,1x diff 2x bxb1,20,0.01,10,+,kan,13,2072.625,877.8561853418003
285,1x diff 2x bxb1,20,0.01,10,+,kan,14,1461.9375,599.9891330861157
286,1x diff 2x bxb1,20,0.01,10,+,kan,15,1063.0,411.688248904088
287,1x diff 2x bxb1,20,0.01,10,+,kan,16,925.6875,336.48752232225706
288,1x diff 2x bxb1,20,0.01,10,-,carb,1,13345.875,461.11717987018085
289,1x diff 2x bxb1,20,0.01,10,-,carb,2,23299.125,1007.3439528213364
290,1x diff 2x bxb1,20,0.01,10,-,carb,3,22385.3125,1802.4622234499911
291,1x diff 2x bxb1,20,0.01,10,-,carb,4,22753.9375,1794.42639934843
292,1x diff 2x bxb1,20,0.01,10,-,carb,5,23175.6875,2380.000179134147
293,1x diff 2x bxb1,20,0.01,10,-,carb,6,19369.5,2951.708234226412
294,1x diff 2x bxb1,20,0.01,10,-,carb,7,19606.0,4724.54732525471
295,1x diff 2x bxb1,20,0.01,10,-,carb,8,16390.0625,6432.441124251685
296,1x diff 2x bxb1,20,0.01,10,-,carb,9,12625.3125,6303.691435168875
297,1x diff 2x bxb1,20,0.01,10,-,carb,10,8764.8125,4842.7842710093655
298,1x diff 2x bxb1,20,0.01,10,-,carb,11,5218.9375,2920.1368905963004
299,1x diff 2x bxb1,20,0.01,10,-,carb,12,3055.875,1721.9280047584534
300,1x diff 2x bxb1,20,0.01,10,-,carb,13,1934.6875,1026.1221710017908
301,1x diff 2x bxb1,20,0.01,10,-,carb,14,1080.0,509.27301126213234
302,1x diff 2x bxb1,20,0.01,10,-,carb,15,722.6875,291.3950359293818
303,1x diff 2x bxb1,20,0.01,10,-,carb,16,501.1875,160.0678288146265
304,1x diff 2x bxb1,20,0.01,10,-,kan,1,12513.125,1165.642549657239
305,1x diff 2x bxb1,20,0.01,10,-,kan,2,17463.75,803.6412668064567
306,1x diff 2x bxb1,20,0.01,10,-,kan,3,16312.0625,1173.0647722190906
307,1x diff 2x bxb1,20,0.01,10,-,kan,4,16972.25,557.9374644937494
308,1x diff 2x bxb1,20,0.01,10,-,kan,5,18484.375,1248.7772233554829
309,1x diff 2x bxb1,20,0.01,10,-,kan,6,13413.125,629.8136770959669
310,1x diff 2x bxb1,20,0.01,10,-,kan,7,13102.0625,1057.3772957349302
311,1x diff 2x bxb1,20,0.01,10,-,kan,8,6921.625,2423.6466437109657
312,1x diff 2x bxb1,20,0.01,10,-,kan,9,3821.0,2366.284142459891
313,1x diff 2x bxb1,20,0.01,10,-,kan,10,2638.6875,1987.1849065143815
314,1x diff 2x bxb1,20,0.01,10,-,kan,11,1662.3125,1120.8607641801775
315,1x diff 2x bxb1,20,0.01,10,-,kan,12,757.1875,466.6137081983034
316,1x diff 2x bxb1,20,0.01,10,-,kan,13,557.3125,167.5947360024004
317,1x diff 2x bxb1,20,0.01,10,-,kan,14,513.4375,63.82869792320245
318,1x diff 2x bxb1,20,0.01,10,-,kan,15,474.0,44.56696406211988
319,1x diff 2x bxb1,20,0.01,10,-,kan,16,446.9375,36.29978108946194
320,1x diff 2x bxb1,20,0.01,50,+,carb,1,12925.125,1776.7185191888361
321,1x diff 2x bxb1,20,0.01,50,+,carb,2,14717.0625,1924.3561527634563
322,1x diff 2x bxb1,20,0.01,50,+,carb,3,12532.375,1616.2041011049846
323,1x diff 2x bxb1,20,0.01,50,+,carb,4,13775.625,1670.8654461941917
324,1x diff 2x bxb1,20,0.01,50,+,carb,5,14074.3125,1597.9681057406262
325,1x diff 2x bxb1,20,0.01,50,+,carb,6,13003.1875,1320.6488377606563
