,well,strain,plasmid,iptg,rep,channel,gain,measurement,GFP/OD
158,D4,naive 1x,HCK pT7 GFP,10,1,sfGFP,2,70868.0,64056.64356733955
162,D5,naive 1x,HCK pT7 GFP,10,2,sfGFP,2,75251.0,68513.80880121396
166,D6,naive 1x,HCK pT7 GFP,10,3,sfGFP,2,79270.0,73239.91376655374
170,D7,naive 1x,HCK T13m pT7 GFP,10,1,sfGFP,2,47836.0,41476.30057803468
174,D8,naive 1x,HCK T13m pT7 GFP,10,2,sfGFP,2,46423.0,41362.934362934364
178,D9,naive 1x,HCK T13m pT7 GFP,10,3,sfGFP,2,46903.0,41239.449003517
182,D10,naive 1x,HCK T13m T12m pT7 GFP,10,1,sfGFP,2,22146.0,19102.357676825763
186,D11,naive 1x,HCK T13m T12m pT7 GFP,10,2,sfGFP,2,21753.0,18274.712965555864
190,D12,naive 1x,HCK T13m T12m pT7 GFP,10,3,sfGFP,2,22195.0,18819.954776710005
194,E1,JS006,HCA pT7 GFP,50,1,sfGFP,2,354.0,273.28872876994336
198,E2,JS006,HCA pT7 GFP,50,2,sfGFP,2,356.0,278.4876140808344
202,E3,JS006,HCA pT7 GFP,50,3,sfGFP,2,375.0,284.45006321112515
206,E4,JS006,HCK pT7 GFP,50,1,sfGFP,2,1038.0,869.1041027072284
210,E5,JS006,HCK pT7 GFP,50,2,sfGFP,2,1002.0,847.4767409078094
214,E6,JS006,HCK pT7 GFP,50,3,sfGFP,2,1030.0,860.9640568403454
218,E7,JS006,HCK T13m pT7 GFP,50,1,sfGFP,2,1497.0,1287.9265844565527
222,E8,JS006,HCK T13m pT7 GFP,50,2,sfGFP,2,1482.0,1307.6470588235295
226,E9,JS006,HCK T13m pT7 GFP,50,3,sfGFP,2,1565.0,1408.2183563287342
230,E10,JS006,HCK T13m T12m pT7 GFP,50,1,sfGFP,2,389.0,329.28893905191876
234,E11,JS006,HCK T13m T12m pT7 GFP,50,2,sfGFP,2,380.0,299.84218832193585
238,E12,JS006,HCK T13m T12m pT7 GFP,50,3,sfGFP,2,593.0,563.5096610706366
242,F1,naive 1x,HCA pT7 GFP,50,1,sfGFP,2,50567.0,39806.0876410391
246,F2,naive 1x,HCA pT7 GFP,50,2,sfGFP,2,49631.0,38824.77183833116
250,F3,naive 1x,HCA pT7 GFP,50,3,sfGFP,2,49002.0,38911.06405505558
254,F4,naive 1x,HCK pT7 GFP,50,1,sfGFP,2,40019.0,35752.53126861227
258,F5,naive 1x,HCK pT7 GFP,50,2,sfGFP,2,44181.0,52264.58990536277
262,F6,naive 1x,HCK pT7 GFP,50,3,sfGFP,2,42621.0,47656.72754379426
266,F7,naive 1x,HCK T13m pT7 GFP,50,1,sfGFP,2,51286.0,42060.68890103882
270,F8,naive 1x,HCK T13m pT7 GFP,50,2,sfGFP,2,53498.0,44680.957683741646
274,F9,naive 1x,HCK T13m pT7 GFP,50,3,sfGFP,2,51384.0,43905.44004557106
278,F10,naive 1x,HCK T13m T12m pT7 GFP,50,1,sfGFP,2,11973.0,10016.452872281094
282,F11,naive 1x,HCK T13m T12m pT7 GFP,50,2,sfGFP,2,12303.0,10148.199065163595
286,F12,naive 1x,HCK T13m T12m pT7 GFP,50,3,sfGFP,2,13087.0,10559.709521247982
302,G4,JS006,none,0,1,sfGFP,2,136.0,108.0794701986755
306,G5,JS006,none,0,2,sfGFP,2,135.0,104.30079835178985
310,G6,JS006,none,0,3,sfGFP,2,125.0,96.8741927150607
